,I_US,I_EU,Inf_US,Inf_EU,Euro
2021-11-01,0.11,-0.5498,0.06236940757128817,0.040513552068473624,1.1556684970855713
2021-12-01,0.14,-0.5671,0.06828372091239299,0.048664122137404675,1.1330289840698242
2022-01-01,0.17,-0.582,0.07096542337630551,0.049643366619115614,1.132502794265747
2022-02-01,0.22,-0.5601,0.07525934401220447,0.051082415495632416,1.12296462059021
2022-03-01,0.38,-0.5315,0.07912024484898206,0.05874549933674422,1.1215918064117432
2022-04-01,0.73,-0.4967,0.08557586368232784,0.07443912512907147,1.1072357892990112
2022-05-01,0.91,-0.4479,0.08224139288485999,0.07438865036400966,1.0504201650619507
2022-06-01,1.33,-0.3857,0.08516412942713858,0.08052504189164011,1.0734105110168457
2022-07-01,1.87,-0.2392,0.08995220608588128,0.08644382544104001,1.0477677583694458
2022-08-01,2.5,0.0366,0.08482129735766986,0.08866171003717471,1.0208247900009155
2022-09-01,2.76,0.3947,0.0824923469014105,0.09140581589183183,1.003905177116394
2022-10-01,3.21,1.0109,0.08222410234342536,0.09927182228776865,0.9829555749893188
2022-11-01,3.85,1.4277,0.0776311508008245,0.1062060140754959,0.9886307716369629
2022-12-01,4.46,1.8252,0.07117878531114008,0.1005459508644222,1.042535424232483
